"Frank Lobiondo ","hou","NJ",2,"League of Conservation Voters","http://www.lcv.org/campaigns/endorsements/",2008,,,
"Chris Smith ","hou","NJ",4,"League of Conservation Voters","http://www.lcv.org/campaigns/endorsements/",2008,,,
"Leonard Lance ","hou","NJ",7,"League of Conservation Voters","http://www.lcv.org/campaigns/endorsements/",2008,"pri",," "
"Linda Stender ","hou","NJ",7,"League of Conservation Voters","http://www.lcv.org/campaigns/endorsements/",2008,"pri",," "
"Martin Heinrich ","hou","NM",1,"League of Conservation Voters","http://www.lcv.org/campaigns/endorsements/",2008,,,
"Ben Ray Lujan  ","hou","NM",3,"League of Conservation Voters","http://www.lcv.org/campaigns/endorsements/",2008,"pri",," "
"Dina Titus ","hou","NV",3,"League of Conservation Voters","http://www.lcv.org/campaigns/endorsements/",2008,,,
"Kirsten Gillibrand ","hou","NY",20,"League of Conservation Voters","http://www.lcv.org/campaigns/endorsements/",2008,,,
"Eric Massa ","hou","NY",29,"League of Conservation Voters","http://www.lcv.org/campaigns/endorsements/",2008,,,
"Steve Driehaus ","hou","OH",1,"League of Conservation Voters","http://www.lcv.org/campaigns/endorsements/",2008,,,
"Victoria Wulsin ","hou","OH",2,"League of Conservation Voters","http://www.lcv.org/campaigns/endorsements/",2008,"pri",," "
"Tom Brinkman ","hou","OH",2,"League of Conservation Voters","http://www.lcv.org/campaigns/endorsements/",2008,"pri",," "
"Mary Jo Kilroy ","hou","OH",15,"League of Conservation Voters","http://www.lcv.org/campaigns/endorsements/",2008,,,
"Kurt Schrader ","hou","OR",5,"League of Conservation Voters","http://www.lcv.org/campaigns/endorsements/",2008,,,
"Kathy Dahlkemper ","hou","PA",3,"League of Conservation Voters","http://www.lcv.org/campaigns/endorsements/",2008,,,
"Jason Altmire ","hou","PA",4,"League of Conservation Voters","http://www.lcv.org/campaigns/endorsements/",2008,,,
"Patrick Murphy ","hou","PA",8,"League of Conservation Voters","http://www.lcv.org/campaigns/endorsements/",2008,,,
"Sam Bennett ","hou","PA",15,"League of Conservation Voters","http://www.lcv.org/campaigns/endorsements/",2008,,,
"Todd Platts ","hou","PA",19,"League of Conservation Voters","http://www.lcv.org/campaigns/endorsements/",2008,,,
"Michael Skelly ","hou","TX",7,"League of Conservation Voters","http://www.lcv.org/campaigns/endorsements/",2008,,,
"Gerry Connolly ","hou","VA",11,"League of Conservation Voters","http://www.lcv.org/campaigns/endorsements/",2008,,,
"Steve Kagen ","hou","WI",8,"League of Conservation Voters","http://www.lcv.org/campaigns/endorsements/",2008,,,
"Mark Gordon ","hou","WY",0,"League of Conservation Voters","http://www.lcv.org/campaigns/endorsements/",2008,"pri",,
"Gary Trauner ","hou","WY",0,"League of Conservation Voters","http://www.lcv.org/campaigns/endorsements/",2008,"pri",,
